epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1675.46,0.47262,1.35138,0.1985,0.34994,0.91409,0.98926,0.92108,0.98575,0.88875,0.97247,0.88308,0.93794,0.73608,0.48976,1.37574,0.16875,0.31635,0.81849,0.0009506,0.0009506,0.0009506
55,1706.23,0.45394,1.31092,0.19547,0.34505,0.91131,0.99645,0.935,0.98842,0.90714,0.98454,0.925,0.96661,0.76278,0.44852,1.28184,0.17253,0.30468,0.80611,0.0009308,0.0009308,0.0009308
56,1738,0.43914,1.29017,0.20491,0.32439,0.91423,0.99563,0.94,0.98621,0.88713,0.96829,0.91608,0.94896,0.74155,0.49595,1.31932,0.17373,0.30954,0.80794,0.000911,0.000911,0.000911
57,1768.67,0.44128,1.27433,0.19748,0.33532,0.89658,0.9961,0.93,0.98817,0.8904,0.96388,0.93396,0.95412,0.7529,0.46929,1.33092,0.16548,0.30271,0.80145,0.0008912,0.0008912,0.0008912
58,1799.62,0.43441,1.18007,0.19571,0.33889,0.89928,0.96916,0.94261,0.98296,0.90216,0.94021,0.925,0.95907,0.77056,0.45532,1.23926,0.17545,0.31529,0.80469,0.0008714,0.0008714,0.0008714
59,1830.52,0.42231,1.20557,0.19116,0.33025,0.89761,0.99579,0.95,0.98257,0.9029,0.97841,0.915,0.95605,0.77724,0.45946,1.25023,0.16755,0.3106,0.79537,0.0008516,0.0008516,0.0008516
60,1860.42,0.44607,1.2852,0.19161,0.32759,0.90111,0.99475,0.94764,0.98772,0.89936,0.96931,0.9475,0.96349,0.75175,0.46322,1.28045,0.17189,0.29114,0.80157,0.0008318,0.0008318,0.0008318
61,1890.6,0.44291,1.22087,0.19161,0.33489,0.90744,0.99764,0.935,0.9774,0.90602,0.96939,0.95015,0.97365,0.76128,0.43744,1.14514,0.16381,0.31323,0.78865,0.000812,0.000812,0.000812
62,1921.37,0.42491,1.22443,0.18567,0.33137,0.89927,0.99837,0.94,0.98507,0.90802,0.98244,0.925,0.96905,0.76341,0.42995,1.26652,0.16987,0.26646,0.79128,0.0007922,0.0007922,0.0007922
63,1951.86,0.42104,1.16697,0.19248,0.32276,0.89285,0.9964,0.935,0.98427,0.91971,0.96404,0.925,0.95504,0.7644,0.43268,1.2714,0.16844,0.29206,0.79187,0.0007724,0.0007724,0.0007724
64,1982.12,0.43518,1.20577,0.19314,0.32231,0.90149,1,0.93306,0.98772,0.90482,0.94408,0.92,0.95186,0.77405,0.46602,1.14895,0.16603,0.28686,0.7963,0.0007526,0.0007526,0.0007526
65,2013.92,0.41939,1.18127,0.18891,0.32324,0.88839,0.99502,0.94,0.9787,0.91686,0.95944,0.93,0.95373,0.77979,0.41805,1.08747,0.16829,0.29623,0.78877,0.0007328,0.0007328,0.0007328
66,2044.01,0.40037,1.10643,0.18803,0.30475,0.88473,0.98437,0.94485,0.98404,0.89527,0.98443,0.94837,0.9699,0.78837,0.48013,1.15202,0.17383,0.30174,0.80036,0.000713,0.000713,0.000713
67,2074.26,0.40965,1.14337,0.18326,0.30092,0.88621,0.99324,0.94,0.98719,0.91418,0.97905,0.93452,0.96468,0.80764,0.4434,1.02902,0.16872,0.29186,0.79229,0.0006932,0.0006932,0.0006932
68,2105.26,0.39815,1.04294,0.18412,0.29967,0.88496,0.99266,0.94,0.98259,0.90689,0.96856,0.92413,0.94967,0.79552,0.45034,1.10633,0.16915,0.29844,0.80349,0.0006734,0.0006734,0.0006734
69,2136.07,0.39576,1.02264,0.1806,0.30407,0.88778,0.99189,0.94,0.9869,0.90559,0.98957,0.94911,0.97417,0.78002,0.44852,1.09261,0.16238,0.30491,0.79854,0.0006536,0.0006536,0.0006536
70,2166.41,0.4095,1.08772,0.18462,0.31626,0.88864,0.98446,0.94995,0.98916,0.91004,0.97509,0.935,0.97198,0.77655,0.46516,1.13217,0.17116,0.29824,0.79822,0.0006338,0.0006338,0.0006338
71,2198.24,0.3978,1.04683,0.18643,0.29979,0.89321,0.99337,0.94,0.98842,0.90788,0.97872,0.935,0.96237,0.77652,0.45761,1.08817,0.16421,0.30455,0.80296,0.000614,0.000614,0.000614
